"trt.b.y","distdt","distir","distfd","distr","targetdist"
"fd.5.2023",1.34450205873003,2.31053098247244,0.610952736614519,1.53533280850126,0.610952736614519
"fd.51.2021",1.38432773512189,2.24611045920832,0.579789273715923,1.77832274224716,0.579789273715923
"fd.51.2022",0.995878078374012,1.63827463389683,0.187339308604968,1.37590791900851,0.187339308604968
"fd.51.2023",1.04810418374647,0.931914765553426,0.339274861822118,1.40916711940977,0.339274861822118
"fd.52.2021",0.814433295825637,1.12692317766448,0.268345430933079,1.4286128663328,0.268345430933079
"fd.52.2022",0.986603155553571,0.741509068386357,0.416482552342152,1.36319056016369,0.416482552342152
"fd.52.2023",1.00725614946381,0.800296986157343,0.360905476448776,1.50358446351027,0.360905476448776
"fd.53.2021",2.06905286485095,1.86270559357047,0.071128032436201,1.29961625042276,0.071128032436201
"fd.53.2022",1.03717258692465,0.976042559816977,0.000348728246106544,1.53513018406235,0.000348728246106544
"fd.53.2023",1.59484760969273,0.642121235975639,0.629771503502012,1.676315239514,0.629771503502012
"fd.6.2021",1.66481229061939,2.35876098670242,0.633381109019533,2.12154391911517,0.633381109019533
"fd.6.2022",0.844114991614493,1.79099182226285,0.253980755373488,1.09314882217779,0.253980755373488
"fd.6.2023",1.58048387998729,2.03459813933011,0.487523126279834,1.85507073146032,0.487523126279834
"fd.7.2021",1.40138814352435,1.78949639335279,0.468594289407237,1.370119511097,0.468594289407237
"fd.7.2022",0.529078411360143,1.34151304882317,0.230737657835807,1.23712969337238,0.230737657835807
"fd.7.2023",1.49262497209917,1.42903735267802,0.385558192548695,1.73707652183092,0.385558192548695
"fd.8.2021",0.756979981658073,1.39023543612875,0.719071064407103,1.00448265476451,0.719071064407103
"fd.8.2022",1.02282307074309,1.56313084460465,0.48258495453745,1.63442598265618,0.48258495453745
"fd.8.2023",1.38969677604886,0.920187917301222,0.521023490678365,2.51519758900846,0.521023490678365
"fd.9.2021",1.11976542781745,1.83794750911563,0.383792149605683,1.64670166202405,0.383792149605683
"fd.9.2022",0.759301261008916,0.703454624028308,0.41972713909308,2.60673576460471,0.41972713909308
"fd.9.2023",1.51120302533222,1.51694065009548,0.533360711441291,2.02293706495095,0.533360711441291
"ir.1.2021",0.470663852915552,1.45783262265939,0.358846566488721,2.27548759923581,1.45783262265939
"ir.1.2022",0.752346252533829,1.49819239870985,1.07854096733639e-05,1.78433776574858,1.49819239870985
"ir.1.2023",1.49837951358214,0.916376865974694,0.756109270978635,1.47219518537665,0.916376865974694
"ir.10.2021",0.562883044083945,0.970913992116486,0.608560377756127,1.79711493463332,0.970913992116486
"ir.10.2022",0.632053392945258,1.5726460805287,0.363501113530694,1.39576591178623,1.5726460805287
"ir.10.2023",1.34415030469108,1.61135306322007,0.55326309057116,1.39996036805582,1.61135306322007
"ir.11.2021",0.269851873013935,1.29601261937419,0.475554131217461,1.75379624335895,1.29601261937419
"ir.11.2022",0.150724835971154,1.06824101929705,0.265159800282287,1.72113713360374,1.06824101929705
"ir.11.2023",1.50018173843829,2.35938305563511,0.36936881972485,1.73984515021579,2.35938305563511
"ir.12.2021",1.17767938547244,1.04479071041501,0.722907912486294,1.41544057283456,1.04479071041501
"ir.12.2022",1.11857223091555,1.39447130327812,0.435474991260643,1.13367179943861,1.39447130327812
"ir.12.2023",1.29389048989942,2.22334712924804,0.609856585826215,1.0308834492386,2.22334712924804
"ir.13.2021",0.780431716163262,1.46458863749398,0.200595654652175,0.536343487941783,1.46458863749398
"ir.13.2022",1.00277803067666,1.61187256418771,0.300381452866127,0.823469323168004,1.61187256418771
"ir.13.2023",1.00536582480964,2.01932056419238,0.119134130820203,0.6797934855095,2.01932056419238
"ir.14.2021",1.3271793686971,1.94699117469348,0.358949579557356,0.896514588241956,1.94699117469348
"ir.14.2022",0.294508512038364,1.16337827991339,0.230979932570567,1.58365309359987,1.16337827991339
"ir.14.2023",0.570885194401604,1.52502151195261,0.331455271134351,1.43314944309852,1.52502151195261
"ir.15.2021",0.953071473928079,1.47749978391075,0.299615843837996,1.54216086218332,1.47749978391075
"ir.15.2022",0.585651484176558,0.71402772316169,0.379010181702291,2.20775369139565,0.71402772316169
"ir.15.2023",0.934093642000185,1.86852428837539,0.286890225653022,1.7137585597262,1.86852428837539
"ir.16.2021",0.936016025806303,1.83050275030953,0.656094721975608,1.42055585940097,1.83050275030953
"ir.16.2022",1.18590131779367,2.21459493480156,0.515332330632204,1.29907803418101,2.21459493480156
"ir.16.2023",1.42401799180231,1.8715810191861,0.49556967330209,1.77009823649801,1.8715810191861
"ir.17.2021",0.63533778013236,1.1996862533423,0.320966530009952,1.96681236577835,1.1996862533423
"ir.17.2022",0.713903170459375,1.45219426916686,0.336782544568539,1.16090132581968,1.45219426916686
"ir.17.2023",0.772372569663096,1.52995881211089,0.168652156674843,1.67514982097774,1.52995881211089
"ir.18.2021",1.11726487918538,1.6693805766816,0.443423293884186,1.85760859558015,1.6693805766816
